,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19811008,1.37,1.03,1.52,0.84,0.99,0.74
19811009,0.11,0.13,0.12,-0.02,-0.79,-0.53
19811012,0.06,0.2,-0.01,-0.17,-0.29,-0.13
19811013,0.16,0.25,0.37,-0.25,-0.21,-0.18
19811014,-1.41,-0.91,-1.3,-1.47,-1.42,-1.83
19811015,0.24,0.17,0.2,0.43,0.57,0.85
19811016,-0.07,-0.03,0.1,-0.44,-0.26,-0.45
19811019,-0.33,-0.29,-0.37,-0.41,-0.02,-0.06
19811020,0.65,0.66,0.78,0.81,1.04,1.25
19811021,0.07,0.3,0.56,-0.21,-0.18,0.01
19811022,-0.51,-0.33,-0.19,-0.62,-0.36,-0.32
19811023,-0.46,-0.49,-0.31,-0.92,-0.67,-0.95
19811026,-0.75,-0.51,-0.45,-0.86,-0.34,-0.28
19811027,1,0.75,0.88,0.66,1.04,1.08
19811028,0.57,0.39,0.59,0.09,0.34,0.22
19811029,-0.48,-0.23,-0.15,-0.21,-0.23,-0.41
19811030,1.63,1.06,1.17,2.38,2.38,2.39
19811102,1.11,1.32,1.59,1.91,1.57,2.62
19811103,0.42,0.75,0.56,0.47,0.47,0.41
19811104,0.07,0.46,0.37,0.38,0.27,-0.05
19811105,-0.23,0.07,-0.12,-0.52,-0.6,-1.04
19811106,-0.05,-0.25,-0.25,-0.24,-0.53,-0.66
19811109,-0.19,-0.1,0.11,0.9,0.31,0.48
19811110,-0.24,0.15,-0.01,0.18,-0.66,-0.36
19811111,0.11,0.1,-0.15,0.58,0.29,-0.05
19811112,0.34,0.55,0.38,0.81,0.2,0.04
19811113,-0.66,-0.21,-0.55,-0.7,-0.97,-1.57
19811116,-1.64,-1.22,-1.62,-1.32,-1.12,-1.23
19811117,-0.07,-0.02,0,0.49,0.6,0.81
19811118,-0.06,-0.01,0.01,-0.08,-0.38,-0.75
19811119,-0.28,0.04,-0.11,-0.04,0.41,0.89
19811120,0.88,0.7,0.69,0.49,1.02,1.03
19811123,-0.46,-0.03,-0.02,-0.18,-0.09,0.07
19811124,0.44,0.56,0.62,1.28,1.35,1.46
19811125,0.57,0.45,0.46,0.51,0.4,0.27
19811127,0.86,0.51,0.49,0.64,0.57,0.97
19811130,0.18,0.49,0.58,0.46,1.01,0.99
19811201,-0.21,0,-0.08,0.03,-0.1,-0.36
19811202,-0.46,-0.26,-0.44,-0.97,-0.88,-1.24
19811203,0.04,0,-0.02,0.11,0.35,0.6
19811204,0.64,0.35,0.64,0.62,0.74,0.74
19811207,-0.91,-0.51,-0.56,-0.73,-0.58,-0.97
19811208,-0.93,-0.63,-0.73,-0.33,-0.28,-0.46
19811209,0.43,0.09,0.04,0.25,0.5,0.61
19811210,0.34,0.3,0.34,0.33,0.14,0.08
19811211,-0.27,-0.09,-0.13,-0.52,-0.6,-0.57
19811214,-1.47,-1.26,-1.46,-1.56,-1.53,-1.61
19811215,0.41,0.04,0.04,0.15,0.1,0.01
19811216,0.02,0.01,-0.04,-0.51,-0.34,-0.38
19811217,0.1,0.13,0.36,0.04,0.36,0.75
19811218,0.65,0.49,0.62,0.66,0.71,0.68
19811221,-0.59,-0.26,-0.23,-0.39,-0.32,-0.54
19811222,-0.45,-0.16,-0.27,-0.28,-0.3,-0.45
19811223,-0.12,-0.13,-0.13,-0.36,-0.31,-0.56
19811224,0.47,0.17,0.14,0.26,0.23,0.22
19811228,-0.54,-0.11,-0.27,-0.3,-0.19,-0.14
19811229,-0.67,-0.41,-0.69,-0.51,-0.53,-0.51
19811230,0.33,0.21,0.36,0.37,0.42,0.4
19811231,0.93,0.53,0.9,0.47,0.22,0.21
19820104,0.26,0.35,-0.05,0.89,-0.03,0.14
19820105,-1.19,-1.23,-1.63,-1.53,-2.05,-2.36
19820106,-0.56,-0.78,-0.84,-0.43,-0.83,-0.86
19820107,0.28,-0.15,0,-0.06,-0.27,-0.35
19820108,0.61,0.45,0.67,0.77,0.51,0.34
19820111,-1.94,-1.58,-2.08,-2.29,-1.94,-2.56
19820112,-0.91,-0.69,-1.11,-0.37,-0.45,-0.49
19820113,-0.86,-0.83,-1,-0.93,-1.64,-1.01
19820114,0.12,0.16,0.13,0.39,0.45,0.74
19820115,0.83,0.6,0.71,0.55,0.42,0.92
19820118,-0.02,0.17,0.07,0.42,0.65,0.97
19820119,-0.52,-0.2,-0.48,-0.56,-0.85,-1.27
19820120,-0.16,-0.43,-0.24,-0.45,-0.42,-0.92
19820121,0.07,0.1,0.16,0.21,0.5,0.39
19820122,-0.14,-0.28,-0.42,-0.36,-0.21,-0.47
19820125,-1.18,-0.93,-1.61,-0.36,-0.37,0.08
19820126,-0.25,-0.1,-0.04,-0.18,-0.08,-0.12
19820127,0.01,-0.1,0.03,0.22,0.37,0.6
19820128,1.77,1.73,1.99,2.27,2.49,3.01
19820129,0.91,1.02,1.44,1.07,1.35,1.05
19820201,-0.78,-0.75,-1.09,-1.74,-1.79,-1.98
19820202,0.28,0.36,0.25,0.59,0.27,0.26
19820203,-0.04,-0.16,-0.2,-0.38,-1,-1.24
19820204,-0.1,-0.19,-0.37,-0.03,-0.23,0
19820205,0.99,0.64,0.63,0.74,0.81,0.89
19820208,-1.98,-1.63,-2.04,-1.89,-1.99,-2.39
19820209,-1.38,-0.84,-1.43,-0.47,-0.88,-0.94
19820210,0.35,0.14,0.3,0.76,0.73,0.68
19820211,-0.18,-0.3,-0.25,-0.17,-0.15,0.05
19820212,0.04,0.24,0.16,0.01,0.04,-0.14
19820216,-0.86,-0.58,-0.75,-0.52,-0.25,-0.35
19820217,0.09,0.18,0.32,-0.12,-0.26,-0.2
19820218,0.09,-0.19,0.15,0.31,0.02,0.23
19820219,-0.32,-0.36,-0.49,-0.26,-0.4,-0.51
19820222,-0.86,-0.47,-0.91,-0.35,-1.02,-1.96
19820223,-0.56,-0.62,-0.85,0.54,-0.16,-0.25
19820224,0.95,0.5,0.43,1.54,1.47,1.76
19820225,0.59,0.47,0.64,0.22,-0.13,-0.14
19820226,0.08,-0.01,-0.28,0.07,-0.19,-0.12
19820301,0.16,0.34,0.3,0.99,0.25,0.04
19820302,-0.33,0.39,0,0.35,-0.33,-0.8
19820303,-1.55,-0.99,-1.8,-0.59,-1.17,-2.13
19820304,-1.12,-0.85,-1.23,-0.56,-1.13,-1.12
19820305,-0.91,-0.86,-1.35,-0.14,-0.62,-0.67
19820308,-1.73,-1.27,-1.9,-1,-1.47,-1.84
19820309,-0.28,-0.54,-0.64,0.36,0.95,1.31
19820310,0.85,0.39,0.76,-0.06,0.61,0.65
19820311,-0.08,-0.13,-0.19,-0.24,0.01,-0.09
19820312,-0.62,-0.48,-1.14,-0.97,-0.63,-0.73
19820315,-0.07,-0.14,-0.09,-0.16,0.73,0.97
19820316,0.17,0.26,0.47,-0.07,0.04,-0.19
19820317,0.04,-0.06,0.05,0.02,-0.2,-0.19
19820318,1.08,0.87,1.25,0.94,1.01,1.39
19820319,0.88,0.59,0.86,0.38,0.16,0.3
19820322,1.44,1.31,2.01,1.73,1.79,2.23
19820323,0.41,0.54,0.84,0.52,0.78,0.62
19820324,-0.02,0.13,0.03,-0.26,-0.5,-0.57
19820325,0.76,0.61,0.74,0.29,0.43,0.27
19820326,-0.31,-0.29,-0.43,-0.85,-0.86,-1.06
19820329,0.33,0.1,0.17,0.14,0.1,0.31
19820330,-0.04,0.16,0.08,0.18,-0.18,0.23
19820331,0.05,0,-0.03,-0.17,-0.28,-0.17
19820401,1.06,0.93,0.98,1.36,1.27,1.84
19820402,0.54,0.73,0.99,0.61,1.05,1.54
19820405,-0.15,0.09,0.05,-0.27,-0.4,-0.22
19820406,0.25,0.33,0.44,0.28,0.71,0.6
19820407,0.36,0.3,0.72,0.14,0.08,0.25
19820408,0.41,0.49,0.66,0.67,0.37,0.84
19820412,-0.1,-0.04,-0.04,-0.16,-0.16,-0.28
19820413,0.23,0.05,0.2,0.17,0.03,-0.17
19820414,-0.04,-0.15,-0.11,-0.16,-0.23,0.04
19820415,0.44,0.37,0.49,0.11,0.35,0.75
19820416,0.61,0.39,0.66,0.63,0.45,0.61
19820419,0,0.27,0.23,0.21,0.12,-0.41
19820420,-0.36,-0.13,-0.52,-0.69,-0.75,-1.33
19820421,0.37,0.33,0.25,0.55,0.27,0.22
19820422,0.65,0.58,0.66,1.05,0.95,1.39
19820423,0.5,0.72,0.97,0.84,1.18,1.36
19820426,0.21,0.55,0.62,0.61,0.56,0.42
19820427,-0.46,-0.51,-0.43,-0.89,-0.91,-0.95
19820428,-0.09,0.06,-0.05,-0.59,-0.68,-0.65
19820429,-0.25,-0.32,-0.6,-0.72,-0.9,-1.05
19820430,0.45,0.03,0.3,0.18,0.24,0.27
19820503,0.01,0.03,0.16,0.48,0.52,0.2
19820504,0.5,0.5,0.71,0.43,0.51,0.82
19820505,-0.03,0,0.03,-0.06,0.14,0.36
19820506,0.79,0.69,0.94,0.83,0.83,1.01
19820507,0.57,0.4,0.5,0.3,0.95,0.85
19820510,-0.55,-0.43,-0.27,-0.67,-0.93,-0.69
19820511,0.52,0.46,0.56,0.64,0.76,1.06
19820512,-0.06,-0.06,-0.14,0.36,-0.45,-0.36
19820513,-0.1,-0.15,-0.13,-0.67,-0.65,-0.53
19820514,0.22,0.04,0.17,-0.29,-0.13,-0.05
19820517,-0.8,-0.63,-0.86,-1.12,-1.11,-0.94
19820518,-0.66,-0.72,-0.84,-0.64,-0.74,-0.86
19820519,-0.6,-0.45,-0.58,-0.67,-0.75,-0.74
19820520,-0.68,-0.54,-0.75,-0.38,-0.44,-0.17
19820521,0.07,-0.13,-0.03,0.37,0.35,0.12
19820524,-0.29,-0.38,-0.42,-0.02,-0.03,0.17
19820525,-0.34,-0.05,-0.15,-0.42,-0.22,-0.27
19820526,-1.21,-0.99,-1.46,-1.14,-1.12,-1.3
19820527,-0.47,-0.39,-0.38,-0.7,-0.32,-0.39
19820528,0.31,0.31,0.28,-0.46,-0.5,-0.38
19820601,-0.47,-0.55,-0.59,-0.46,-0.34,-0.1
19820602,0.27,0.38,0.26,0.7,0.22,0.42
19820603,-0.08,-0.2,-0.2,-0.02,-0.25,-0.13
19820604,-1.02,-0.96,-1.41,-1.32,-1.42,-1.7
19820607,-0.66,-0.46,-0.49,-0.03,-0.02,-0.02
19820608,-0.42,-0.3,-0.37,-0.35,-0.4,-0.36
19820609,-0.94,-0.82,-0.95,-0.82,-0.71,-0.33
19820610,0.3,0.22,0.26,0.3,0.3,0.64
19820611,1.43,1.19,1.61,1.47,1.65,1.52
19820614,-1.01,-0.49,-0.96,-1.09,-1.06,-1.25
19820615,-0.46,-0.31,-0.47,-0.34,-0.14,-0.4
19820616,-0.05,-0.03,-0.02,0.01,-0.69,-0.78
19820617,-0.83,-0.79,-1.01,-0.74,-0.98,-1.19
19820618,-0.33,-0.57,-0.79,-0.45,-0.62,-0.24
19820621,-0.12,0.23,0.2,-0.24,0.04,0.05
19820622,0.28,0.27,0.56,0.64,0.75,1.04
19820623,1.13,0.88,1.22,1.16,1.64,1.86
19820624,0.1,0.16,0.49,0.04,-0.08,-0.39
19820625,-0.35,-0.26,-0.38,-0.59,-0.54,-0.66
19820628,0.08,0.3,0.39,0.49,0.9,1.01
19820629,-0.23,0.02,-0.25,0.26,0.3,-0.14
19820630,0.31,0.33,0.52,0.25,-0.79,-0.54
19820701,-0.46,-0.28,-0.66,-0.6,-0.81,-0.79
19820702,-0.19,-0.24,-0.48,-0.64,-0.77,-0.88
19820706,-0.59,-0.45,-0.04,-0.33,-0.34,-0.45
19820707,-0.08,-0.41,-0.17,-0.11,-0.2,-0.09
19820708,-0.74,-0.4,-0.5,0.08,0.25,0.08
19820709,1.16,0.91,0.97,1.07,1.21,1.08
19820712,0.44,0.71,1,1.21,0.99,0.19
19820713,-0.14,0.11,0.13,-0.6,-0.15,0.24
19820714,-0.19,-0.09,0.02,-0.3,0.4,1.74
19820715,-0.04,0.35,0.19,-0.13,-0.07,0.29
19820716,0.19,0.27,0.21,0.2,0.75,0.37
19820719,0.13,-0.07,0.22,-0.03,-0.16,-0.46
19820720,0.56,0.39,0.22,0.77,0.44,0.76
19820721,0.22,0.27,0.53,0.32,-0.1,-0.04
19820722,0.36,0.32,0.28,0.26,0.16,-0.17
19820723,0.08,-0.01,0.11,-0.17,-0.52,-0.23
19820726,-0.56,-0.44,-0.36,-0.9,-0.53,-0.78
19820727,-0.34,-0.41,-0.27,-0.76,-0.7,-0.99
19820728,-1.4,-1.44,-1.37,-1.45,-1.41,-1.62
19820729,-0.55,-0.53,-0.64,-0.4,-0.11,0.23
19820730,-0.06,-0.05,-0.11,-0.17,-0.52,-0.53
19820802,0.57,0.75,0.73,2.06,1.48,1.76
19820803,-0.46,0,-0.34,-0.15,-0.85,-1.3
19820804,-0.91,-0.92,-1.18,-1.07,-1.54,-1.64
19820805,-0.75,-0.81,-0.99,-0.77,-0.74,-0.89
19820806,-0.92,-0.67,-0.97,-0.87,-1.21,-1.38
19820809,-1.69,-1.55,-1.61,-0.67,-0.68,-0.46
19820810,-0.37,-0.12,0.1,0.16,-0.06,-0.36
19820811,-0.83,-0.28,-0.4,0.13,-0.19,-0.56
19820812,-0.58,-0.39,-0.37,0.1,-0.07,-0.56
19820813,0.14,0.02,-0.15,1.46,1.41,1.14
19820816,0.74,0.65,0.75,1.09,0.39,0.13
19820817,2.38,2.09,1.86,4.67,4.73,4.18
19820818,1.32,1.47,1.73,0.42,-0.14,-0.24
19820819,0.1,-0.3,-0.11,0.38,0.67,-0.12
19820820,2.09,1.34,1.72,3.48,3.21,3.46
19820823,1.88,1.62,1.91,2.26,2.84,2.84
19820824,0.38,1,1.04,-0.25,-0.76,-0.04
19820825,2.1,1.64,1.94,1.52,2,2.36
19820826,1.72,1.54,1.81,0.6,1.01,1.11
19820827,-0.34,-0.19,-0.23,-1.51,-1.19,-0.97
19820830,0.11,0.11,0.13,0.26,0.56,0.41
19820831,1.02,1.05,1.1,1.24,1.53,1.69
19820901,-0.65,-0.16,-0.32,-0.56,-1.02,-0.98
19820902,1.54,1.29,0.91,1.46,1.47,1.93
19820903,1.01,0.9,1.31,1.75,2,2.09
19820907,-0.41,-0.28,-0.5,-1.17,-0.93,-1.01
19820908,0.68,0.67,0.79,0.19,0.56,1.14
19820909,0.5,0.61,0.6,0.14,-0.08,-0.11
19820910,-0.37,-0.21,-0.39,-0.86,-0.85,-0.64
19820913,0.16,0.17,0.26,0.64,1.01,1.05
19820914,0.68,0.84,0.98,0.81,0.85,0.82
19820915,0.56,0.49,0.71,0.87,0.63,1.17
19820916,0.2,0.28,0.52,-0.16,-0.39,-0.03
19820917,-0.55,-0.37,-0.33,-0.64,-1.28,-0.83
19820920,-0.61,-0.3,-0.41,-0.33,0.01,0.11
19820921,1.21,1.12,0.99,1.6,1.82,1.94
19820922,-0.1,0.43,0.41,-0.22,-0.32,-1
19820923,-0.31,-0.23,-0.36,-0.37,-0.25,0.1
19820924,0.13,0.17,0.2,-0.3,-0.39,-0.25
19820927,-0.07,-0.03,0.02,-0.02,0.42,0.13
19820928,-0.01,0.2,0.29,-0.13,-0.16,-0.38
19820929,-0.96,-0.64,-0.84,-1.35,-1.15,-1.4
19820930,-0.28,-0.4,-0.37,-0.61,-0.98,-0.97
19821001,0.91,0.54,0.48,1.22,1.3,1.11
19821004,-0.59,-0.22,-0.12,-0.34,-0.45,0.13
19821005,0.41,0.51,0.76,0.44,0.26,0.64
19821006,1.8,1.64,1.99,2.49,3.16,3.48
19821007,1.61,1.62,1.71,2.25,2.17,2.02
19821008,1.41,1.32,1.52,2.35,1.73,1.73
19821011,1.6,1.71,2.19,2.58,2.36,2.21
19821012,-0.02,0.15,-0.01,-0.32,-0.38,0.3
19821013,2.27,1.82,1.95,1.31,1.55,2.29
19821014,-0.17,-0.06,0.23,-1.09,-1.37,-1.79
19821015,0.21,-0.12,-0.19,-0.53,-0.7,-0.68
19821018,1.69,0.94,1.27,1.94,2.05,2.53
19821019,0.13,0.22,0.19,-0.02,0.17,-0.16
19821020,1.69,1.38,1.41,1.77,1.89,2.2
19821021,0.27,0.74,0.63,-0.05,-0.01,-0.17
19821022,1.22,0.96,1.15,0.05,0.15,-0.51
19821025,-2.6,-2.14,-2.3,-3.34,-3.67,-4.2
19821026,-0.91,-0.44,-0.5,0.39,0.77,0.98
19821027,1.73,1.33,1.75,0.9,0.69,0.46
19821028,-0.02,-0.07,0.08,-0.86,-1.09,-1.37
19821029,0.78,0.09,0.19,0.56,0.38,-0.01
19821101,0.69,0.71,0.87,1.35,1.24,1.24
19821102,1.53,1.69,1.65,1.53,1.59,1.55
19821103,2.81,2.5,2.64,3.92,3.48,4.11
19821104,0.35,0.45,0.7,-0.2,-0.72,-0.26
19821105,1.16,0.86,0.85,0.53,0.45,0.4
19821108,-0.05,-0.06,-0.02,-1.16,-0.94,-1.26
19821109,1.86,1.62,1.78,1.78,1.72,1.57
19821110,-0.15,-0.13,0.03,-0.77,-1.31,-1.24
19821111,0.67,0.39,0.36,0.4,0.6,0.35
19821112,0.6,0.35,0.13,-0.7,-1.09,-1.59
19821115,-1.61,-1.39,-1.6,-1.68,-1.8,-1.78
19821116,-1.74,-1.76,-1.97,-1.33,-1.29,-1.13
19821117,1.41,1.13,1.53,1.55,1.59,2.13
19821118,0.89,0.67,0.85,0.68,0.27,0.41
19821119,0.11,0.04,0.11,-0.8,-0.67,-0.91
19821122,-1.53,-1.05,-1.39,-1.65,-1.83,-2.52
19821123,-0.38,-0.5,-0.4,-0.9,-0.87,-0.74
19821124,0.7,0.53,0.67,0.26,0.83,0.9
19821126,1.04,0.71,0.83,0.75,0.74,0.7
19821129,-0.24,-0.18,-0.16,-0.32,-0.47,-0.65
19821130,1.81,1.52,1.61,2.44,2.81,3.72
19821201,1.03,1.18,1.65,0.28,-0.11,0.56
19821202,0.09,0.15,0.14,-0.05,-0.07,0.21
19821203,0.14,0.03,0.08,0.02,-0.12,-0.06
19821206,0.96,0.59,0.98,1.27,1.77,2.59
19821207,0.86,0.65,0.8,0.1,0.47,1
19821208,0.27,0.37,0.45,-0.47,-0.6,-0.48
19821209,-1.04,-0.91,-1.06,-1.51,-1.36,-0.85
19821210,-1.27,-1.06,-1,-1.13,-0.35,-0.3
19821213,-0.19,-0.16,-0.37,0.26,0.41,0.07
19821214,-1.12,-0.89,-1.28,-0.6,-1.35,-2.49
19821215,-2.18,-1.97,-2.47,-1.37,-1.57,-1.69
19821216,-0.58,-0.31,-0.33,0.13,-0.23,0.04
19821217,1.41,1.17,1.4,1.73,1.28,1.73
19821220,-0.55,-0.39,-0.22,-0.63,-1.05,-0.72
19821221,0.84,0.42,0.49,1.35,1.63,1.53
19821222,0.65,0.5,0.75,0.66,0.24,-0.08
19821223,0.5,0.52,0.59,0.86,0.59,0.5
19821227,0.71,0.67,0.5,1.34,1.92,1.38
19821228,-0.37,-0.36,-0.31,-0.5,-0.94,-0.91
19821229,0.16,0.17,0.13,0.22,0.44,0.32
19821230,-0.12,-0.11,-0.14,-0.4,-0.66,-0.68
19821231,0.99,0.59,0.49,0.35,0.16,0.34
19830103,-0.76,-0.68,-0.67,-1.39,-1.38,-1.86
19830104,1.03,0.56,0.4,1.24,1.91,2.15
19830105,1.03,0.7,0.62,0.53,0.38,0.5
19830106,2.4,1.66,1.85,2.45,2.25,2.47
19830107,0.59,0.71,0.84,0.23,0.15,-0.34
19830110,1.46,1.21,1.1,1.39,1.06,1.07
19830111,0.05,-0.02,-0.07,-0.29,-0.66,-0.68
19830112,0.97,0.68,0.8,0.69,0.56,0.68
19830113,-0.06,0.02,-0.15,-0.48,-0.5,-0.65
19830114,1.37,1.04,0.94,0.42,0.7,0.41
19830117,0.69,0.76,0.79,0.05,0.37,-0.16
19830118,-0.01,0.2,0.02,-0.61,-0.14,0.06
19830119,-0.6,-0.6,-0.71,-0.72,-0.86,-0.49
19830120,0.17,0.14,0.37,-0.11,0.47,0.97
19830121,-1.31,-0.87,-0.97,-1.23,-1.41,-1.89
19830124,-3.56,-2.73,-3.01,-2.5,-2.48,-2.9
19830125,1.23,0.78,0.81,1.31,1.35,0.95
19830126,0.94,0.93,0.78,-0.17,0.01,-0.11
19830127,1.8,1.37,1.46,1.67,1.97,1.72
19830128,0.77,0.58,0.51,-0.04,0.24,0.27
19830131,0.78,0.53,0.41,0.53,0.61,0.63
19830201,-0.35,-0.31,-0.15,-0.67,-1.35,-1.49
19830202,0.3,-0.15,-0.09,0.3,-0.14,0.18
19830203,0.56,0.62,0.79,0.69,0.77,0.86
19830204,0.99,1.11,1.18,1.2,1.3,1.48
19830207,0.57,0.52,0.54,0.69,0.7,0.3
19830208,-0.35,-0.19,-0.12,-0.51,-0.87,-0.75
19830209,0.22,0.27,0.21,-0.61,-0.34,-0.5
19830210,1.62,1.05,1.13,1.29,1.44,1.92
19830211,0.35,0.48,0.42,0.31,0,0.19
19830214,0.71,0.74,0.96,0.62,0.71,1.37
19830215,-0.01,0.41,0.51,-0.07,-0.35,-0.22
19830216,0.05,-0.08,0.02,-0.5,-0.34,-0.91
19830217,0.09,-0.13,-0.16,0.1,-0.06,0.05
19830218,0.83,0.55,0.62,0.6,0.23,0.51
19830222,-0.99,-0.69,-0.94,-0.74,-1.05,-1.99
19830223,0.24,0.44,0.32,0.66,0.88,1
19830224,0.93,0.88,1.07,1.67,1.61,2.11
19830225,-0.02,0.09,0.11,0.17,0.18,0.13
19830228,-0.7,-0.27,-0.53,-0.63,-0.97,-1.26
19830301,0.75,0.43,0.51,2.07,1.7,1.72
19830302,0.73,0.65,0.87,0.83,0.66,1.28
19830303,0.79,0.88,0.88,0.84,0.7,0.81
19830304,0.48,0.17,0.28,0.66,-0.06,0.28
19830307,0.25,0.48,0.16,0.1,-0.07,0.02
19830308,-0.86,-0.5,-0.96,-1.16,-1.41,-1.56
19830309,0.82,0.78,0.63,0.68,0.87,1.17
19830310,0.47,0.41,0.12,-0.58,-0.53,-0.81
19830311,-0.3,-0.13,-0.12,-0.39,-0.23,-0.46
19830314,-0.57,-0.6,-0.74,-0.59,-0.23,-0.35
19830315,-0.18,-0.16,0,0.6,0.34,0.13
19830316,-0.1,0.02,-0.03,-0.05,-0.74,-1.44
19830317,-0.27,-0.28,-0.44,0.04,-0.13,-0.21
19830318,0.46,0.46,0.33,0.26,0.27,0.08
19830321,0.48,0.19,0.56,0.48,0.69,1.08
19830322,0.19,0.49,0.36,0.25,-0.2,-0.65
19830323,1,0.8,0.94,1.17,1.38,1.41
19830324,0.79,0.42,0.6,0.44,0.26,0.51
19830325,0.14,0.03,0.02,-0.52,-0.32,-0.29
19830328,-0.93,-0.27,-0.32,-0.83,-0.51,-0.51
19830329,-0.29,-0.05,-0.1,-0.2,-0.23,0
19830330,0.57,0.65,0.49,0.57,1.03,1.37
19830331,-0.05,0.03,0.24,-0.77,-0.26,0.03
19830404,-0.68,-0.34,-0.29,-0.26,0.01,0.25
19830405,-0.13,-0.1,0.03,-0.37,-0.74,-0.73
19830406,-0.7,-0.95,-0.86,-0.34,-0.56,-0.77
19830407,0.29,0.07,0.12,0.51,0.36,0.39
19830408,0.65,0.4,0.47,0.1,0.7,0.87
19830411,1.09,0.86,0.98,1.3,1.21,1.72
19830412,0.31,0.74,0.73,0.63,0.27,0.52
19830413,0.98,0.88,1.04,0.86,0.7,0.54
19830414,1.27,0.82,1.08,0.76,0.82,0.77
19830415,0.93,0.68,0.55,0.56,0.67,0.16
19830418,0.87,0.51,0.7,0.67,0.65,0.61
19830419,-0.44,-0.09,-0.36,-0.61,-0.54,-0.74
19830420,0.94,0.99,1.01,1.43,1.07,1.21
19830421,0.19,0.41,0.19,0.02,-0.38,-0.45
19830422,0.58,0.38,0.5,0.26,0.1,0.27
19830425,-0.92,-0.61,-0.56,-0.77,-0.81,-1.16
19830426,1.15,0.54,0.75,1.33,1.54,2.05
19830427,0,0.15,0.22,-0.12,0.02,-0.27
19830428,0.73,0.75,0.81,0.75,0.94,1.05
19830429,0.86,0.74,0.8,0.54,0.85,0.8
19830502,-0.77,-0.64,-0.73,-1.42,-1.21,-1.46
19830503,0.17,-0.15,-0.27,-0.09,0.01,0.14
19830504,1.36,0.92,1.22,1.04,0.77,0.64
19830505,1.62,1.06,1.29,1.26,0.78,0.33
19830506,1.92,1.12,1.2,1.02,1.03,1.23
19830509,0.89,0.2,0.44,0.06,-0.25,0.18
19830510,1.2,0.6,0.65,0.25,0.03,0.19
19830511,-0.41,-0.35,-0.42,-0.92,-0.58,-0.41
19830512,0.03,-0.12,-0.17,-0.53,-0.36,-0.27
19830513,0.92,0.85,0.81,0.69,0.32,0.29
19830516,-1.47,-1.02,-1.19,-1.05,-0.93,-0.66
19830517,0.81,0.43,0.68,0.52,0.15,0.37
19830518,0.69,0.68,0.72,0.19,-0.14,-0.21
19830519,-0.6,-0.39,-0.37,-0.66,-0.77,-0.61
19830520,0,0.03,-0.05,0.08,0.04,-0.09
19830523,0.18,0.05,0.19,0.71,0.69,1.11
19830524,1.56,1.39,1.25,1.42,1.14,1.28
19830525,0.72,0.82,0.68,0.47,0.45,0.47
19830526,0.18,0.61,0.39,-0.2,-0.31,-0.48
19830527,0.46,0.2,0.22,-0.55,-0.59,-0.37
19830531,-1.05,-0.82,-0.89,-1.13,-1.16,-1.24
19830601,-0.22,-0.14,-0.24,-0.2,0.09,0.31
19830602,0.9,0.81,0.82,0.62,0.71,1
19830603,1.07,0.97,0.74,0.45,0.3,0.26
19830606,0.36,0.5,0.56,0.04,0.24,0.56
19830607,-0.34,-0.21,-0.02,-1,-0.88,-1.34
19830608,-0.94,-0.71,-0.75,-0.83,-0.84,-0.79
19830609,0.43,0.15,0.2,0.13,0.25,0.29
19830610,1.17,0.87,1.03,0.54,0.49,0.73
19830613,1.03,0.88,1.21,1.23,1.1,1.34
19830614,0.53,0.68,0.6,0.2,0.53,0.38
19830615,0.6,0.89,0.97,0.64,0.97,1.12
19830616,0.7,1.12,1.27,0.9,1.1,1.2
19830617,-0.02,-0.02,0.17,-0.73,0.17,0.13
19830620,-0.16,-0.17,0.15,-0.29,-0.08,0.01
19830621,0.49,0.39,0.49,0.35,0.8,0.99
19830622,0.76,0.27,0.08,0.44,0.11,0.25
19830623,-0.17,-0.1,-0.13,-0.6,-0.32,0.12
19830624,0.52,0.32,0.25,0.18,0.22,-0.04
19830627,-1.72,-1.08,-1,-1.17,-0.93,-1.23
19830628,-2.71,-1.76,-2.35,-1.63,-1.54,-1.78
19830629,0.65,-0.05,-0.14,0.47,0.22,0.91
19830630,1.39,0.75,1.02,0.84,0.95,0.64
19830701,0.91,0.71,0.77,0.39,0.58,0.61
19830705,-1.32,-0.9,-0.92,-1.61,-1.33,-1.24
19830706,1.08,0.63,0.79,0.72,0.95,1.19
19830707,0.13,0.13,0.12,-0.26,-0.51,-0.62
19830708,-0.17,-0.12,-0.22,-0.14,-0.22,-0.18
19830711,0.18,0.35,0.3,0.59,0.42,0.59
19830712,-1.53,-0.79,-0.96,-1.35,-1.39,-1.49
19830713,-0.69,-0.4,-0.57,-0.13,0.07,-0.41
19830714,0.3,0.44,0.33,0.5,0.22,0.31
19830715,-0.83,-0.57,-0.69,-0.97,-0.95,-1.15
19830718,-0.96,-0.71,-0.78,-0.47,-0.25,-0.26
19830719,0.44,0.27,0.32,0.61,0.53,0.43
19830720,1.82,1.36,1.38,2.69,2.43,2.63
19830721,0.46,0.67,0.65,0.55,-0.04,-0.12
19830722,0.38,0.4,0.52,0.21,-0.17,-0.04
19830725,0.13,0.28,0.05,0.49,0.41,0.32
19830726,0.23,0.51,0.47,0.88,0.4,0.05
19830727,-1.63,-1.08,-1.31,-1.64,-1.41,-1.78
