Dow Jones,S&P 500,NASDAQ
20858.19,2364.87,5838.81
20902.98,2372.6,5861.73
20881.48,2373.47,5875.78
20837.37,2365.45,5856.82
20950.1,2385.26,5900.05
20934.55,2381.38,5900.76
20914.62,2378.25,5901.0
20905.86,2373.47,5901.53
20668.01,2344.02,5793.83
20661.3,2348.45,5821.64
20656.58,2345.96,5817.69
20596.72,2343.98,5828.74
20550.98,2341.59,5840.37
20701.5,2358.57,5875.14
20659.32,2361.13,5897.55
20728.49,2368.06,5914.34
20663.22,2362.72,5911.74
20650.21,2358.84,5894.68
20689.24,2360.16,5898.61
20648.15,2352.95,5864.48
20662.95,2357.49,5878.95
20656.1,2355.54,5877.81
20658.02,2357.16,5880.93
20651.3,2353.78,5866.77
20591.86,2344.93,5836.16
20453.25,2328.95,5805.15
,,
20636.92,2349.01,5856.79
20523.28,2342.19,5849.47
20404.49,2338.17,5863.03
20578.71,2355.84,5916.78
20547.76,2348.69,5910.52
20763.89,2374.15,5983.82
20996.12,2388.61,6025.49
20975.09,2387.45,6025.23
20981.33,2388.77,6048.94
20940.51,2384.2,6047.61
20913.46,2388.33,6091.6
20949.89,2391.17,6095.37
20957.9,2388.13,6072.55
20951.47,2389.52,6075.34
21006.94,2399.29,6100.76
21012.28,2399.38,6102.66
20975.78,2396.92,6120.59
20943.11,2399.63,6129.14
20919.42,2394.44,6115.96
20896.61,2390.9,6121.23
20981.94,2402.32,6149.67
20979.75,2400.67,6169.87
20606.93,2357.03,6011.24
20663.02,2365.72,6055.13
20804.84,2381.73,6083.7
20894.83,2394.02,6133.62
20937.91,2398.42,6138.71
21012.42,2404.39,6163.02
21082.95,2415.07,6205.26
21080.28,2415.82,6210.19
,,
21029.47,2412.91,6203.19
21008.65,2411.8,6198.52
21144.18,2430.06,6246.83
21206.29,2439.07,6305.8
21184.04,2436.1,6295.68
21136.23,2429.33,6275.06
21173.69,2433.14,6297.38
21182.53,2433.79,6321.76
21271.97,2431.77,6207.92
21235.67,2429.39,6175.46
21328.47,2440.35,6220.37
21374.56,2437.92,6194.89
21359.9,2432.46,6165.5
21384.28,2433.15,6151.76
21528.99,2453.46,6239.01
21467.14,2437.03,6188.03
21410.03,2435.61,6233.95
21397.29,2434.5,6236.69
